Date,Close
2012-02-01,19.372856
2012-03-01,21.4125
2012-04-01,20.856428
2012-05-01,20.633215
2012-06-01,20.857143
2012-07-01,21.812857
2012-08-01,23.758572
2012-09-01,23.825001
2012-10-01,21.261429
2012-11-01,20.902857
2012-12-01,19.006071
2013-01-01,16.2675
2013-02-01,15.764286
2013-03-01,15.809286
2013-04-01,15.813571
2013-05-01,16.061787
2013-06-01,14.161786
2013-07-01,16.161785
2013-08-01,17.400715
2013-09-01,17.026787
2013-10-01,18.667856
2013-11-01,19.859644
2013-12-01,20.036428
2014-01-01,17.878571
2014-02-01,18.794287
2014-03-01,19.169287
2014-04-01,21.074642
2014-05-01,22.607143
2014-06-01,23.2325
2014-07-01,23.9
2014-08-01,25.625
2014-09-01,25.1875
2014-10-01,27
2014-11-01,29.7325
2014-12-01,27.594999
2015-01-01,29.290001
2015-02-01,32.115002
2015-03-01,31.1075
2015-04-01,31.2875
2015-05-01,32.57
2015-06-01,31.3575
2015-07-01,30.325001
2015-08-01,28.190001
2015-09-01,27.575001
2015-10-01,29.875
2015-11-01,29.575001
2015-12-01,26.315001
2016-01-01,24.334999
2016-02-01,24.172501
2016-03-01,27.247499
2016-04-01,23.434999
2016-05-01,24.965
2016-06-01,23.91
2016-07-01,26.0525
2016-08-01,26.525
2016-09-01,28.262501
2016-10-01,28.385
2016-11-01,27.629999
2016-12-01,28.955
2017-01-01,30.3375
2017-02-01,34.247501
2017-03-01,35.915001
2017-04-01,35.912498
2017-05-01,38.189999
2017-06-01,36.005001
2017-07-01,37.182499
2017-08-01,41
2017-09-01,38.529999
2017-10-01,42.259998
2017-11-01,42.962502
2017-12-01,42.307499
2018-01-01,41.857498
2018-02-01,44.529999
2018-03-01,41.945
2018-04-01,41.314999
2018-05-01,46.717499
2018-06-01,46.2775
2018-07-01,47.572498
2018-08-01,56.907501
2018-09-01,56.435001
2018-10-01,54.715
2018-11-01,44.645
2018-12-01,39.435001
2019-01-01,41.610001
2019-02-01,43.287498
2019-03-01,47.487499
2019-04-01,50.1675
2019-05-01,43.767502
2019-06-01,49.48
2019-07-01,53.259998
2019-08-01,52.185001
2019-09-01,55.9925
2019-10-01,62.189999
2019-11-01,66.8125
2019-12-01,73.412498
2020-01-01,77.377502
2020-02-01,68.339996
2020-03-01,63.572498
2020-04-01,73.449997
2020-05-01,79.485001
2020-06-01,91.199997
2020-07-01,106.260002
2020-08-01,129.039993
2020-09-01,115.809998
2020-10-01,108.860001
2020-11-01,119.050003
2020-12-01,132.690002
2021-01-01,131.960007
2021-02-01,121.260002
2021-03-01,122.150002
2021-04-01,131.460007
2021-05-01,124.610001
2021-06-01,136.960007
2021-07-01,145.860001
2021-08-01,151.830002
2021-09-01,141.5
2021-10-01,149.800003
2021-11-01,165.300003
2021-12-01,177.570007
2022-01-01,174.779999
2022-02-01,165.119995
2022-03-01,174.610001
2022-04-01,157.649994
2022-05-01,148.839996
2022-06-01,136.720001
2022-07-01,162.509995
2022-08-01,157.220001
2022-09-01,138.199997
2022-10-01,153.339996
2022-11-01,148.029999
2022-12-01,129.929993
2023-01-01,144.289993
2023-02-01,147.410004
2023-03-01,164.899994
2023-04-01,163.770004
2023-04-25,163.770004
